card_id,card_number,name,rarity,type,race,cost,power,life,illustrator,text,image_url,detail_url
,E53-021 R,華人弾幕 レヴィ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-021.png,https://zxcard.yimieji.com/Cards/E53/E53-021/R
,E53-022 R,緋色の女王 レヴィ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-022.png,https://zxcard.yimieji.com/Cards/E53/E53-022/R
,E53-023 R,ラピッドラビット レヴィ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-023.png,https://zxcard.yimieji.com/Cards/E53/E53-023/R
,E53-024 R,二挺拳銃 レヴィ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-024.png,https://zxcard.yimieji.com/Cards/E53/E53-024/R
,E53-025 R,小さなメイド ファビオラ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-025.png,https://zxcard.yimieji.com/Cards/E53/E53-025/R
,E53-026 R,地雷原 バラライカ＆レヴィ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-026.png,https://zxcard.yimieji.com/Cards/E53/E53-026/R
,E53-027 R,「フローレンシアの猟犬」 ロベルタ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-027.png,https://zxcard.yimieji.com/Cards/E53/E53-027/R
,E53-028 R,“魔術師” ロットン,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-028.png,https://zxcard.yimieji.com/Cards/E53/E53-028/R
,E53-029 R,WELCOME TO JAPAN,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-029.png,https://zxcard.yimieji.com/Cards/E53/E53-029/R
,E53-030 R,「It’s a Blue World」,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-030.png,https://zxcard.yimieji.com/Cards/E53/E53-030/R
,E53-031 R+,血と硝煙のウエスタン レヴィ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-031.png,https://zxcard.yimieji.com/Cards/E53/E53-031/R%2B
