color,card_number,series,rarity,type,jp_name,cn_name,cost,power,race,note,text_full,image_url,detail_url
红,B01-001,,R,,運命の猟犬ライラプス,命运的猎犬 莱拉普斯,2,2500,神兽,,【自】 这张卡登场时，方阵上存在你的 「狩猎的女神 阿尔忒弥斯」 的话，选择通常方阵上的1张对手的Z/X，给予5000点伤害。,http://zximg-cdn.yimieji.com/card/B01/B01-001.png,https://zxcard.yimieji.com/Cards/B01/B01-001/R
红,B01-002,,C,,刀職人 一刀,刀职人 一刀,2,3500,技师,,【特】 虚空使者 （这张卡由于给予玩家的伤害从生命区登场之际，你的生命在对手的生命以下的话，你可以选择方阵上的1张Z/X，放置到废弃区。）,http://zximg-cdn.yimieji.com/card/B01/B01-002.png,https://zxcard.yimieji.com/Cards/B01/B01-002/C
红,B01-003,,C,,発熱する石炭コールアルマジロ,发热的石炭 煤炭犰狳,2,3500,巨兽,,-,http://zximg-cdn.yimieji.com/card/B01/B01-003.png,https://zxcard.yimieji.com/Cards/B01/B01-003/C
红,B01-004,,R,,煌きの金ゴールドピーコク,辉煌之金 黄金雄孔雀,3,3000,巨兽,,【常】 射程 2（这张卡可以攻击2格远的方阵。）,http://zximg-cdn.yimieji.com/card/B01/B01-004.png,https://zxcard.yimieji.com/Cards/B01/B01-004/R
红,B01-005,,R,,砂漠の女王クレオパトラ,砂漠的女王 克利欧佩特拉,3,4500,勇者,,【常】 起始卡 （你可以将这张卡放置在玩家方阵上后再开始游戏。） 【起】 < 《红2》 将充能区中的这张卡放置到废弃区。>选择通常方阵上的1张Z/X，给予5000点伤害。,http://zximg-cdn.yimieji.com/card/B01/B01-005.png,https://zxcard.yimieji.com/Cards/B01/B01-005/R
红,B01-006,,R,,狩猟の女神アルテミス,狩猎的女神 阿尔忒弥斯,3,5000,勇者,,-,http://zximg-cdn.yimieji.com/card/B01/B01-006.png,https://zxcard.yimieji.com/Cards/B01/B01-006/R
红,B01-007,,C,,太陽の神使ヤタガラス,太阳的神使 八咫乌,3,5000,神兽,,【特】 生命恢复 （这张卡由于给予玩家的伤害从生命区登场之际，你的生命在对手的生命以下的话，回复1点生命。）,http://zximg-cdn.yimieji.com/card/B01/B01-007.png,https://zxcard.yimieji.com/Cards/B01/B01-007/C
红,B01-008,,C,,鍛錬鍛冶フォージ,锻炼锻冶 佛吉,3,5000,技师,,【常】 起始卡 （你可以将这张卡放置在玩家方阵上后再开始游戏。）,http://zximg-cdn.yimieji.com/card/B01/B01-008.png,https://zxcard.yimieji.com/Cards/B01/B01-008/C
红,B01-009,,R,,制覇の黒馬ブケファロス,制霸的黑马 布西法拉斯,4,6000,神兽,,【起】 < 《休眠》 >选择方阵上的1张 [勇者] ，直到回合结束时为止，力量+4000。,http://zximg-cdn.yimieji.com/card/B01/B01-009.png,https://zxcard.yimieji.com/Cards/B01/B01-009/R
红,B01-010,,SR,,無双才覚 石田三成,无双才觉 石田三成,4,6000,勇者,,【起】 < 《休眠》 >选择通常方阵上的1张Z/X，给予4000点伤害。,http://zximg-cdn.yimieji.com/card/B01/B01-010.png,https://zxcard.yimieji.com/Cards/B01/B01-010/SR
红,B01-011,,UC,,優しい硝子グラスエレファント,温柔的硝子 玻璃大象,4,6000,巨兽,,【自】 这张卡攻击时，直到回合结束时为止，这张卡的力量+1000。,http://zximg-cdn.yimieji.com/card/B01/B01-011.png,https://zxcard.yimieji.com/Cards/B01/B01-011/UC
红,B01-012,,SR,,九大英雄アレキサンダー,九大英雄 亚历山大,5,7500,勇者,,【起】 【玩家】 「神门」 【有效】 方阵 【费用】 《红4》 【效果】 选择方阵上的1张这张卡以外的Z/X，将其重启。 【起】 【玩家】 「神门」 【有效】 方阵 【费用】 将你手牌中的1张卡从游戏中除外。 【效果】 这个回合中你的 [勇者] 通过攻击破坏过了对手的Z/X的场合，你可以选择从游戏中除外了的1张你的卡名含有 「亚历山大」 的卡，将其返回手牌。这个能力1回合只能使用1次。,http://zximg-cdn.yimieji.com/card/B01/B01-012.png,https://zxcard.yimieji.com/Cards/B01/B01-012/SR
红,B01-013,,UC,,激走鉄騎タンクハート,激走铁骑 战车之心,5,8000,技师,,-,http://zximg-cdn.yimieji.com/card/B01/B01-013.png,https://zxcard.yimieji.com/Cards/B01/B01-013/UC
红,B01-014,,UC,,鈍重な石ストーンタートル,钝重之石 岩石乌龟,5,5000,巨兽,,【自】 这张卡登场时，给予通常方阵上的全部的对手的Z/X 3500点伤害。,http://zximg-cdn.yimieji.com/card/B01/B01-014.png,https://zxcard.yimieji.com/Cards/B01/B01-014/UC
红,B01-015,,UC,,尊厳の神君アウグストゥス,尊严的神君 奥古斯都,6,7000,勇者,,【自】 这张卡登场时，选择通常方阵上的1张对手的Z/X，给予5000点伤害。,http://zximg-cdn.yimieji.com/card/B01/B01-015.png,https://zxcard.yimieji.com/Cards/B01/B01-015/UC
红,B01-016,,UC,,不屈の鋼スティールレオパルド,不屈之钢 钢铁花豹,6,9500,巨兽,,-,http://zximg-cdn.yimieji.com/card/B01/B01-016.png,https://zxcard.yimieji.com/Cards/B01/B01-016/UC
红,B01-017,,C,,インペラトルジャッジ,帝皇裁决,1,-,-,,【★】 选择通常方阵上的1张Z/X，给予3500点伤害。,http://zximg-cdn.yimieji.com/card/B01/B01-017.png,https://zxcard.yimieji.com/Cards/B01/B01-017/C
红,B01-018,,R,,覇者激震槍,霸者激震枪,1,-,-,,【★】 选择方阵上的1张正在攻击的Z/X，直到回合结束时为止，力量+3500。,http://zximg-cdn.yimieji.com/card/B01/B01-018.png,https://zxcard.yimieji.com/Cards/B01/B01-018/R
红,B01-019,,UC,,爆散する石炭,爆散的石炭,2,-,-,,【★】 选择通常方阵上的1张Z/X，给予5000点伤害。,http://zximg-cdn.yimieji.com/card/B01/B01-019.png,https://zxcard.yimieji.com/Cards/B01/B01-019/UC
红,B01-020,,C,,しゅほうはっしゃー！,主炮发射！,4,-,-,,【★】 选择通常方阵上的1张Z/X，给予8000点伤害。,http://zximg-cdn.yimieji.com/card/B01/B01-020.png,https://zxcard.yimieji.com/Cards/B01/B01-020/C
蓝,B01-021,,C,,鋼城アスタチン,钢城 砹机侠,2,3500,金属要塞,,【特】 虚空使者 （这张卡由于给予玩家的伤害从生命区登场之际，你的生命在对手的生命以下的话，你可以选择方阵上的1张Z/X，放置到废弃区。）,http://zximg-cdn.yimieji.com/card/B01/B01-021.png,https://zxcard.yimieji.com/Cards/B01/B01-021/C
蓝,B01-022,,C,,抹消機械イレイス,抹消机械 削除式,2,3000,杀人机械,,【自】 这张卡登场时，抽卡1张，选择你的手牌中的1张卡返回卡组，然后切洗卡组。,http://zximg-cdn.yimieji.com/card/B01/B01-022.png,https://zxcard.yimieji.com/Cards/B01/B01-022/C
蓝,B01-023,,R,,金盤奏音シュトラウセ,金盘奏音 施特劳瑟,3,4500,人鱼,,【常】 起始卡 （你可以将这张卡放置在玩家方阵上后再开始游戏。） 【起】 < 《蓝2》 将充能区中的这张卡放置到废弃区。>抽卡2张，选择你的手牌中的1张卡返回卡组，然后切洗卡组。,http://zximg-cdn.yimieji.com/card/B01/B01-023.png,https://zxcard.yimieji.com/Cards/B01/B01-023/R
蓝,B01-024,,C,,鋼城テクネチウム,钢城 锝机侠,3,5000,金属要塞,,【特】 生命恢复 （这张卡由于给予玩家的伤害从生命区登场之际，你的生命在对手的生命以下的话，回复1点生命。）,http://zximg-cdn.yimieji.com/card/B01/B01-024.png,https://zxcard.yimieji.com/Cards/B01/B01-024/C
蓝,B01-025,,C,Z/X,シティガード フェクダ,城市守卫者 菲克妲,3,5000,战斗服,,【常】 起始卡 （你可以将这张卡放置在玩家方阵上后再开始游戏。）,http://zximg-cdn.yimieji.com/card/B01/B01-025.png,https://zxcard.yimieji.com/Cards/B01/B01-025/C
蓝,B01-026,,R,,抹消機械ヴォイド,抹消机械 虚空式,3,5000,杀人机械,,-,http://zximg-cdn.yimieji.com/card/B01/B01-026.png,https://zxcard.yimieji.com/Cards/B01/B01-026/R
蓝,B01-027,,R,,メテオソード スピカ,流星之剑 丝柏卡,3,4000,战斗服,,【自】 这张卡登场时，方阵上存在你的 「抹消机械 虚空式」 的话，抽卡1张。,http://zximg-cdn.yimieji.com/card/B01/B01-027.png,https://zxcard.yimieji.com/Cards/B01/B01-027/R
